Voltage (V),Current (A)
4.62,1.943134e-06
4.63,1.944909e-06
4.64,1.949404e-06
4.65,1.953148e-06
4.66,1.957155e-06
4.67,1.963129e-06
4.68,1.964898e-06
4.69,1.970206e-06
4.7,1.973749e-06
4.71,1.976939e-06
4.72,1.978353e-06
4.73,1.984843e-06
4.74,1.991593e-06
4.75,1.992581e-06
4.76,1.995963e-06
4.7700000000000005,1.998475e-06
4.78,2.005285e-06
4.79,2.010184e-06
4.8,2.010084e-06
4.8100000000000005,2.01621e-06
4.82,2.020855e-06
4.83,2.025005e-06
4.84,2.029056e-06
4.8500000000000005,2.033448e-06
4.86,2.038096e-06
4.87,2.041902e-06
4.88,2.047391e-06
4.89,2.048843e-06
4.9,2.053041e-06
4.91,2.058931e-06
4.92,2.063007e-06
4.93,2.067268e-06
4.94,2.068348e-06
4.95,2.071202e-06
4.96,2.076808e-06
4.97,2.081573e-06
4.98,2.086158e-06
4.99,2.090093e-06
5.0,2.094428e-06
5.01,2.097213e-06
5.0200000000000005,2.104726e-06
5.03,2.106756e-06
5.04,2.106437e-06
5.05,2.109178e-06
5.0600000000000005,2.116119e-06
5.07,2.120467e-06
5.08,2.126003e-06
5.09,2.131892e-06
5.1000000000000005,2.135081e-06
5.11,2.138137e-06
5.12,2.140952e-06
5.13,2.147693e-06
5.14,2.148346e-06
5.15,2.155256e-06
5.16,2.160194e-06
5.17,2.167016e-06
5.18,2.16986e-06
5.19,2.172992e-06
5.2,2.179015e-06
5.21,2.184112e-06
5.22,2.18645e-06
5.23,2.189549e-06
5.24,2.195339e-06
5.25,2.200233e-06
5.26,2.205665e-06
5.2700000000000005,2.209449e-06
5.28,2.214083e-06
5.29,2.216887e-06
5.3,2.220432e-06
5.3100000000000005,2.22398e-06
5.32,2.2312e-06
5.33,2.237222e-06
5.34,2.243929e-06
5.3500000000000005,2.24557e-06
5.36,2.249303e-06
5.37,2.257161e-06
5.38,2.260199e-06
5.39,2.266301e-06
5.4,2.269318e-06
5.41,2.271939e-06
5.42,2.27804e-06
5.43,2.283636e-06
5.44,2.283736e-06
5.45,2.290197e-06
5.46,2.294864e-06
5.47,2.300577e-06
5.48,2.311045e-06
5.49,2.310094e-06
5.5,2.315504e-06
5.51,2.319468e-06
5.5200000000000005,2.325951e-06
5.53,2.33251e-06
5.54,2.334489e-06
5.55,2.339716e-06
5.5600000000000005,2.346324e-06
5.57,2.354195e-06
5.58,2.363156e-06
5.59,2.370219e-06
5.6000000000000005,2.373772e-06
5.61,2.380797e-06
5.62,2.38397e-06
5.63,2.387399e-06
5.64,2.393229e-06
5.65,2.398337e-06
5.66,2.402315e-06
5.67,2.410342e-06
5.68,2.417353e-06
5.69,2.422505e-06
5.7,2.430797e-06
5.71,2.435556e-06
5.72,2.442325e-06
5.73,2.44748e-06
5.74,2.456543e-06
5.75,2.466596e-06
5.76,2.467643e-06
5.7700000000000005,2.47219e-06
5.78,2.477929e-06
5.79,2.481022e-06
5.8,2.485934e-06
5.8100000000000005,2.493241e-06
5.82,2.496461e-06
