Voltage (V),Current (A)
-4.399999999999942,-4.321231e-07
-4.599999999999941,-4.603628e-07
-4.79999999999994,-4.92787e-07
-4.99999999999994,-5.26322e-07
-5.199999999999939,-5.593174e-07
-5.399999999999938,-5.92585e-07
-5.5999999999999375,-6.273316e-07
-5.799999999999937,-6.64885e-07
-5.999999999999936,-7.022163e-07
-6.199999999999935,-7.444428e-07
-6.399999999999935,-7.915274e-07
-6.599999999999934,-8.304763e-07
-6.799999999999933,-9.211896e-07
-6.9999999999999325,-9.301733e-07
-7.199999999999932,-1.046148e-06
-7.399999999999931,-1.08826e-06
-7.59999999999993,-1.137231e-06
-7.79999999999993,-1.189649e-06
-7.999999999999929,-1.237849e-06
-8.199999999999928,-1.294689e-06
-8.399999999999928,-1.350949e-06
-8.599999999999927,-1.419405e-06
-8.799999999999926,-1.483322e-06
-8.999999999999925,-1.558736e-06
-9.199999999999925,-1.630026e-06
-9.399999999999924,-1.704708e-06
-9.599999999999923,-1.77612e-06
-9.799999999999923,-1.844484e-06
-9.999999999999922,-1.919633e-06
-10.199999999999921,-1.992905e-06
-10.39999999999992,-2.05973e-06
-10.59999999999992,-2.119701e-06
-10.799999999999919,-2.177398e-06
-10.999999999999918,-2.23329e-06
-11.199999999999918,-2.276259e-06
-11.399999999999917,-2.328359e-06
-11.599999999999916,-2.379391e-06
-11.799999999999915,-2.423246e-06
-11.999999999999915,-2.460256e-06
-12.0,-2.465645e-06
-11.8,-2.435712e-06
-11.600000000000001,-2.403541e-06
-11.400000000000002,-2.375168e-06
-11.200000000000003,-2.349986e-06
-11.000000000000004,-2.320733e-06
-10.800000000000004,-2.292858e-06
-10.600000000000005,-2.266407e-06
-10.400000000000006,-2.239275e-06
-10.200000000000006,-2.213137e-06
-10.000000000000007,-2.188606e-06
-9.800000000000008,-2.159356e-06
-9.600000000000009,-2.126734e-06
-9.40000000000001,-2.088682e-06
-9.20000000000001,-2.058215e-06
-9.00000000000001,-2.02336e-06
-8.800000000000011,-1.992876e-06
-8.600000000000012,-1.962783e-06
-8.400000000000013,-1.931545e-06
-8.200000000000014,-1.901701e-06
-8.000000000000014,-1.869605e-06
-7.800000000000015,-1.835661e-06
-7.600000000000016,-1.799848e-06
-7.400000000000016,-1.765154e-06
-7.200000000000017,-1.728229e-06
-7.000000000000018,-1.69055e-06
-6.8000000000000185,-1.655562e-06
-6.600000000000019,-1.615418e-06
-6.40000000000002,-1.577767e-06
-6.200000000000021,-1.538345e-06
-6.000000000000021,-1.499065e-06
-5.800000000000022,-1.460288e-06
-5.600000000000023,-1.418164e-06
-5.4000000000000234,-1.376227e-06
-5.200000000000024,-1.330569e-06
-5.000000000000025,-1.285116e-06
-4.800000000000026,-1.239493e-06
-4.600000000000026,-1.193353e-06
-4.400000000000027,-1.145291e-06
-4.200000000000028,-1.094839e-06
-4.000000000000028,-1.045918e-06
-3.800000000000029,-9.97573e-07
-3.60000000000003,-9.458277e-07
-3.4000000000000306,-8.934024e-07
-3.2000000000000313,-8.382453e-07
-3.000000000000032,-7.834963e-07
-2.8000000000000327,-7.259494e-07
-2.6000000000000334,-6.678004e-07
-2.400000000000034,-6.084589e-07
-2.200000000000035,-5.48369e-07
-2.0000000000000355,-4.874078e-07
-1.8000000000000362,-4.267773e-07
-1.600000000000037,-3.671546e-07
-1.4000000000000377,-3.079661e-07
-1.2000000000000384,-2.50613e-07
-1.000000000000039,-1.96064e-07
-0.8000000000000398,-1.439008e-07
-0.6000000000000405,-9.648863e-08
-0.4000000000000412,-5.737493e-08
-0.20000000000004192,-2.443906e-08
-4.263256414560601e-14,-3.819651e-12
0.0,-5.601939e-12
0.2,1.502176e-08
0.4,2.583264e-08
0.6000000000000001,3.546685e-08
0.8,4.732617e-08
1.0,7.227013e-08
1.2000000000000002,1.215462e-07
1.4000000000000001,1.417544e-07
1.6,1.632289e-07
1.8,1.863799e-07
2.0,2.093363e-07
2.2,2.365951e-07
2.4000000000000004,2.657979e-07
2.6,2.997789e-07
2.8000000000000003,3.357e-07
3.0,3.746906e-07
3.2,4.184108e-07
3.4000000000000004,4.644937e-07
3.6,5.134679e-07
3.8000000000000003,5.575507e-07
4.0,6.058899e-07
4.2,6.601393e-07
4.4,7.134441e-07
4.6000000000000005,7.716223e-07
4.800000000000001,8.196864e-07
5.0,8.704633e-07
5.2,9.828157e-07
5.4,1.050866e-06
5.6000000000000005,1.12033e-06
5.800000000000001,1.195125e-06
6.0,1.299768e-06
6.2,1.398085e-06
6.4,1.49881e-06
6.6000000000000005,1.606316e-06
6.800000000000001,1.714424e-06
7.0,1.81329e-06
7.2,1.915558e-06
7.4,2.006964e-06
7.6000000000000005,2.094792e-06
7.800000000000001,2.19818e-06
8.0,2.284123e-06
8.200000000000001,2.409459e-06
8.4,2.5073e-06
8.6,2.701395e-06
8.8,2.770383e-06
9.0,2.943236e-06
9.200000000000001,3.031765e-06
9.4,3.115209e-06
9.600000000000001,3.210132e-06
9.8,3.272419e-06
10.0,3.391928e-06
10.200000000000001,3.430846e-06
10.4,3.491265e-06
10.600000000000001,3.638315e-06
10.8,3.681326e-06
11.0,3.730461e-06
11.200000000000001,3.753781e-06
11.4,3.766961e-06
11.600000000000001,3.804001e-06
11.8,3.859842e-06
12.0,3.898896e-06
12.0,3.883246e-06
11.8,3.833837e-06
11.600000000000001,3.767899e-06
11.400000000000002,3.718619e-06
11.200000000000003,3.66827e-06
11.000000000000004,3.594938e-06
10.800000000000004,3.531625e-06
10.600000000000005,3.462184e-06
10.400000000000006,3.389809e-06
10.200000000000006,3.347841e-06
10.000000000000007,3.303599e-06
9.800000000000008,3.25892e-06
9.600000000000009,3.198324e-06
9.40000000000001,3.139635e-06
9.20000000000001,3.07457e-06
9.00000000000001,3.001053e-06
8.800000000000011,2.948161e-06
8.600000000000012,2.887846e-06
8.400000000000013,2.851056e-06
8.200000000000014,2.788408e-06
8.000000000000014,2.720948e-06
7.800000000000015,2.674059e-06
7.600000000000016,2.615663e-06
7.400000000000016,2.558321e-06
7.200000000000017,2.490523e-06
7.000000000000018,2.428777e-06
6.8000000000000185,2.360222e-06
6.600000000000019,2.303597e-06
6.40000000000002,2.251028e-06
6.200000000000021,2.183251e-06
6.000000000000021,2.098977e-06
5.800000000000022,2.045409e-06
5.600000000000023,1.983495e-06
5.4000000000000234,1.930068e-06
5.200000000000024,1.853897e-06
5.000000000000025,1.787545e-06
4.800000000000026,1.718367e-06
4.600000000000026,1.662175e-06
4.400000000000027,1.584182e-06
4.200000000000028,1.487917e-06
4.000000000000028,1.43028e-06
3.800000000000029,1.380925e-06
3.60000000000003,1.304904e-06
3.4000000000000306,1.231116e-06
3.2000000000000313,1.155176e-06
3.000000000000032,1.07612e-06
2.8000000000000327,9.985782e-07
2.6000000000000334,9.135148e-07
2.400000000000034,8.290266e-07
2.200000000000035,7.447007e-07
2.0000000000000355,6.576801e-07
1.8000000000000362,5.723786e-07
1.600000000000037,4.889842e-07
1.4000000000000377,4.06082e-07
1.2000000000000384,3.270647e-07
1.000000000000039,2.510601e-07
0.8000000000000398,1.813357e-07
0.6000000000000405,1.191162e-07
0.4000000000000412,6.700586e-08
0.20000000000004192,2.743658e-08
4.263256414560601e-14,2.724674e-12
-0.19999999999995666,-1.964011e-08
